lottery_type,target_draw,prediction_date,ticket_no,ticket_role,numbers,adopted_models,selection_reason,expected_score,low_popularity_score,past_similarity,risk_level,created_at
loto6,2119,2026/07/11,1,本命・安定型,06-08-21-27-35-36,ベイズ推定 / 機械学習モデル / マルコフ連鎖 / 出現頻度分析,過去成績の重みが高いモデルを中心に、奇数偶数・高低・合計値の安定性を優先,88.363,88.587,50.0,低,2026/07/11 22:37:24
loto6,2119,2026/07/11,2,直近トレンド型,05-06-21-27-36-42,ベイズ推定 / マルコフ連鎖 / 機械学習モデル / 出現頻度分析,直近傾向、マルコフ系の移り変わり、ホット傾向を重めに評価,82.32,86.133,66.7,低,2026/07/11 22:37:24
loto6,2119,2026/07/11,3,高額当選狙い・低人気型,05-06-21-24-36-43,マルコフ連鎖 / ベイズ推定 / 機械学習モデル / 出現頻度分析,予測スコアを維持しつつ、誕生日数字偏りや規則的な並びを避ける低人気評価を加点,79.383,86.787,50.0,低,2026/07/11 22:37:24
